name,price_usd,year,manufacturer,model,class,length_ft,fuel,hull_material,hull_shape
2010 jeanneau 572010 jeanneau 57,327000,2010,jeanneau,57,sloop boats,58,diesel,other materials,
2010 beneteau beneteau 58 2010 beneteau 582010 beneteau beneteau 58 2010 beneteau 58,323730,2010,beneteau,beneteau 58 2010 beneteau 58,daysailers,58,diesel,fiberglass / polyester,
2012 beneteau oceanis 582012 beneteau oceanis 58,478510,2012,beneteau,oceanis 58,sloop boats,58,other,other materials,
2011 beneteau oceanis 582011 beneteau oceanis 58,348800,2011,beneteau,oceanis 58,sailing yachts,58,diesel,fiberglass / polyester,
2017 wauquiez pilot saloon 582017 wauquiez pilot saloon 58,760820,2017,wauquiez,pilot saloon 58,sailing yachts,58,diesel,other materials,other
1994 ta shing taswell 58 twin cockpit1994 ta shing taswell 58 twin cockpit,370600,1994,ta shing,taswell 58 twin cockpit,sailing yachts,58,diesel,other materials,
2004 beneteau 572004 beneteau 57,403300,2004,beneteau,57,sailing yachts,57,diesel,fiberglass / polyester,
1992 custom phenix dixi1992 custom phenix dixi,0,1992,custom,phenix dixi,racer/cruiser sailboats,57,diesel,composite,
2016 robertson & caine leopard 582016 robertson & caine leopard 58,1277527,2016,robertson & caine,leopard 58,other (sailboats),57,diesel,fiberglass / polyester,
2015 robertson & caine leopard 582015 robertson & caine leopard 58,1056267,2015,robertson & caine,leopard 58,other (sailboats),57,diesel,fiberglass / polyester,
2014 robertson & caine leopard 582014 robertson & caine leopard 58,1110748,2014,robertson & caine,leopard 58,other (sailboats),57,diesel,fiberglass / polyester,
2014 robertson & caine leopard 582014 robertson & caine leopard 58,1028470,2014,robertson & caine,leopard 58,other (sailboats),57,diesel,fiberglass / polyester,
2019 black pepper code 2.12019 black pepper code 2.1,1847550,2019,black pepper,code 2.1,racer/cruiser sailboats,57,diesel,other materials,
2017 grand soleil 582017 grand soleil 58,926500,2017,grand soleil,58,sloop boats,57,diesel,other materials,
1978 nautor swan 57 s&s ketch1978 nautor swan 57 s&s ketch,216910,1978,nautor swan,57 s&s ketch,sloop boats,57,diesel,other materials,
2012 discovery 572012 discovery 57,1009885,2012,discovery,57,sailing yachts,57,diesel,other materials,
2010 north wind 582010 north wind 58,741200,2010,north wind,58,racer sailboats,57,diesel,fiberglass / polyester,
2023 jeanneau 602023 jeanneau 60,0,2023,jeanneau,60,sailing yachts,57,other,fiberglass / polyester,
2013 psi reunion aventurin 542013 psi reunion aventurin 54,370600,2013,psi reunion,aventurin 54,dinghy sailing boats,57,diesel,other materials,
2015 amel 552015 amel 55,921050,2015,amel,55,sailboats with a center cockpit,56,diesel,fiberglass / polyester,displacement
2002 schooner goleta2002 schooner goleta,490500,2002,schooner,goleta,classic sailboats,56,diesel,wood,
2003 van de stadt 572003 van de stadt 57,539550,2003,van de stadt,57,sloop boats,56,diesel,composite,
2011 fountaine pajot queensland 552011 fountaine pajot queensland 55,1144500,2011,fountaine pajot,queensland 55,catamarans and trimarans,56,diesel,composite,
1997 frers 56.4 one design - 561997 frers 56.4 one design - 56,316100,1997,frers,56.4 one design - 56,sailing yachts,56,diesel,composite,
2011 amel 542011 amel 54,626750,2011,amel,54,sailing yachts,56,diesel,fiberglass / polyester,
2006 beneteau 572006 beneteau 57,446900,2006,beneteau,57,sloop boats,56,diesel,other materials,other
2004 beneteau 572004 beneteau 57,430550,2004,beneteau,57,sailboats with a center cockpit,56,diesel,fiberglass / polyester,monohull
2014 beneteau sense 552014 beneteau sense 55,380410,2014,beneteau,sense 55,sailing yachts,56,gasoline,fiberglass / polyester,
2020 hanse 5882020 hanse 588,652910,2020,hanse,588,sailing yachts,56,diesel,composite,monohull
2022 dufour 562022 dufour 56,634380,2022,dufour,56,sailing yachts,56,diesel,fiberglass / polyester,
2023 dufour 56 exclusive2023 dufour 56 exclusive,564718,2023,dufour,56 exclusive,sailing yachts,56,diesel,fiberglass / polyester,
2021 dufour 56 exclusive2021 dufour 56 exclusive,815680,2021,dufour,56 exclusive,sailing yachts,56,diesel,fiberglass / polyester,
2019 dufour 56 exclusive2019 dufour 56 exclusive,694250,2019,dufour,56 exclusive,sailing yachts,56,diesel,fiberglass / polyester,
2019 dufour 56 exclusive2019 dufour 56 exclusive,539550,2019,dufour,56 exclusive,sloop boats,56,diesel,other materials,
2017 dufour 56 exclusive2017 dufour 56 exclusive,562233,2017,dufour,56 exclusive,sailing yachts,56,diesel,fiberglass / polyester,
2022 dufour 5602022 dufour 560,791156,2022,dufour,560,racer/cruiser sailboats,56,diesel,fiberglass / polyester,
2015 dufour 560 grand large2015 dufour 560 grand large,332395,2015,dufour,560 grand large,sloop boats,56,diesel,other materials,
2016 hanse 5752016 hanse 575,490500,2016,hanse,575,unspecified (sailboats),56,diesel,composite,
1994 pugh oceanhouse 59 pilothouse1994 pugh oceanhouse 59 pilothouse,343350,1994,pugh,oceanhouse 59 pilothouse,cutter,56,diesel,steel,
2023 grand soleil 52lc2023 grand soleil 52lc,648550,2023,grand soleil,52lc,sailing yachts,55,diesel,fiberglass / polyester,monohull
1850 crew tender 17001850 crew tender 1700,19075,1850,crew tender,1700,sloop boats,55,,steel,
1993 kempers kempers cutter 601993 kempers kempers cutter 60,419650,1993,kempers,kempers cutter 60,daysailers,55,diesel,other materials,
2001 lagoon 5702001 lagoon 570,468700,2001,lagoon,570,other (sailboats),55,diesel,fiberglass / polyester,
2003 lagoon lagoon 5702003 lagoon lagoon 570,599500,2003,lagoon,lagoon 570,catamaran,55,diesel,fiberglass / polyester,
2005 north wind north wind 562005 north wind north wind 56,461070,2005,north wind,north wind 56,daysailers,55,diesel,other materials,
2018 reinke reinke 16 m2018 reinke reinke 16 m,430550,2018,reinke,reinke 16 m,sailing yachts,55,diesel,aluminum,
2021 bali bali 5.42021 bali bali 5.4,1471500,2021,bali,bali 5.4,catamaran,55,diesel,fiberglass / polyester,
1982 classic sailing yacht1982 classic sailing yacht,271955,1982,classic,sailing yacht,sloop boats,55,diesel,wood,
1982 s&s 55 based modern classic1982 s&s 55 based modern classic,190750,1982,s&s 55 based,modern classic,classic sailboats,55,diesel,wood,displacement
2007 grand soleil 562007 grand soleil 56,321550,2007,grand soleil,56,sailing yachts,55,diesel,fiberglass / polyester,
1991 standfast 561991 standfast 56,433820,1991,standfast,56,sloop boats,55,diesel,other materials,
2017 beneteau oceanis 552017 beneteau oceanis 55,392400,2017,beneteau,oceanis 55,sailing yachts,55,diesel,composite,
2015 beneteau oceanis 552015 beneteau oceanis 55,534100,2015,beneteau,oceanis 55,sailing yachts,55,diesel,fiberglass / polyester,
2013 beneteau oceanis 552013 beneteau oceanis 55,543910,2013,beneteau,oceanis 55,sailing yachts,55,diesel,fiberglass / polyester,
1981 laurent giles ketch1981 laurent giles ketch,348800,1981,laurent giles,ketch,racer/cruiser sailboats,55,diesel,aluminum,displacement
2015 bavaria cruiser 562015 bavaria cruiser 56,305200,2015,bavaria,cruiser 56,sailing yachts,54,diesel,fiberglass / polyester,monohull
2016 dix harvey dh 5502016 dix harvey dh 550,713950,2016,dix harvey,dh 550,catamarans and trimarans,54,diesel,wood,
2016 dix harvey dh 550 catamaran2016 dix harvey dh 550 catamaran,713950,2016,dix harvey,dh 550 catamaran,sailing yachts,54,diesel,other materials,
2016 dudley dix dh 550 catamaran2016 dudley dix dh 550 catamaran,713950,2016,dudley dix,dh 550 catamaran,catamaran,54,diesel,fiberglass / polyester,
2016 dudley dix dh5502016 dudley dix dh550,713950,2016,dudley dix,dh550,other (sailboats),54,diesel,wood,
2005 jeanneau sun odyssey 54 ds2005 jeanneau sun odyssey 54 ds,315010,2005,jeanneau,sun odyssey 54 ds,daysailers,54,diesel,fiberglass / polyester,
2008 jeanneau sun odyssey 54 ds2008 jeanneau sun odyssey 54 ds,272500,2008,jeanneau,sun odyssey 54 ds,sloop boats,54,diesel,fiberglass / polyester,
2008 jeanneau sun odyssey 54 ds sun odyssey 54 ds2008 jeanneau sun odyssey 54 ds sun odyssey 54 ds,310650,2008,jeanneau,sun odyssey 54 ds sun odyssey 54 ds,daysailers,54,diesel,fiberglass / polyester,
2022 bavaria c572022 bavaria c57,617095,2022,bavaria,c57,daysailers,54,gasoline,other materials,
2014 hanse 5752014 hanse 575,519603,2014,hanse,575,other (sailboats),54,diesel,other materials,
2013 hanse 5752013 hanse 575,494097,2013,hanse,575,other (sailboats),54,diesel,other materials,
2013 hanse 5752013 hanse 575,542820,2013,hanse,575,racer/cruiser sailboats,54,diesel,fiberglass / polyester,
2006 jeanneau sun odyssey 54 ds2006 jeanneau sun odyssey 54 ds,215820,2006,jeanneau,sun odyssey 54 ds,sailing yachts,54,diesel,composite,
2012 beneteau oceanis 542012 beneteau oceanis 54,239050,2012,beneteau,oceanis 54,sailing yachts,54,diesel,fiberglass / polyester,
2009 beneteau oceanis 542009 beneteau oceanis 54,271410,2009,beneteau,oceanis 54,sailing yachts,54,diesel,fiberglass / polyester,
2009 beneteau oceanis 54 4 cabin version2009 beneteau oceanis 54 4 cabin version,226720,2009,beneteau,oceanis 54 4 cabin version,sailing yachts,54,diesel,fiberglass / polyester,
2020 bavaria c572020 bavaria c57,970100,2020,bavaria,c57,daysailers,54,gasoline,other materials,
2008 sailboat smy 542008 sailboat smy 54,359700,2008,sailboat,smy 54,sailing yachts,54,diesel,aluminum,displacement
1977 jongert 16s1977 jongert 16s,249610,1977,jongert,16s,sloop boats,54,diesel,steel,
1977 jongert 16m1977 jongert 16m,336810,1977,jongert,16m,sloop boats,54,diesel,steel,
2010 bavaria 55 cruiser2010 bavaria 55 cruiser,305200,2010,bavaria,55 cruiser,sailing yachts,54,diesel,fiberglass / polyester,
1990 xenia custom 541990 xenia custom 54,130800,1990,xenia,custom 54,sloop boats,54,diesel,other materials,
2018 fountaine pajot my 442018 fountaine pajot my 44,1002800,2018,fountaine pajot,my 44,catamaran,54,diesel,fiberglass / polyester,catamaran
2019 grand soleil 52lc2019 grand soleil 52lc,872000,2019,grand soleil,52lc,sailing yachts,54,diesel,fiberglass / polyester,monohull
1980 helmsman quin 551980 helmsman quin 55,56680,1980,helmsman,quin 55,unspecified (sailboats),54,diesel,composite,
1999 hylas hylas 54 cc1999 hylas hylas 54 cc,414200,1999,hylas,hylas 54 cc,sailing yachts,54,diesel,composite,
1987 koopmans 16.501987 koopmans 16.50,321550,1987,koopmans,16.50,sloop boats,54,diesel,steel,other
1989 baltic 55 dp1989 baltic 55 dp,430550,1989,baltic,55 dp,sailing yachts,54,diesel,fiberglass / polyester,
2001 moody 542001 moody 54,380410,2001,moody,54,sloop boats,54,diesel,other materials,
2014 nautitech 5422014 nautitech 542,953750,2014,nautitech,542,catamarans and trimarans,54,diesel,other materials,
2009 koopmans 542009 koopmans 54,681250,2009,koopmans,54,sloop boats,53,diesel,aluminum,displacement
1993 koopmans 541993 koopmans 54,539550,1993,koopmans,54,sloop boats,53,diesel,aluminum,
1990 tayana center cockpit cutter1990 tayana center cockpit cutter,223450,1990,tayana,center cockpit cutter,cutter,53,diesel,fiberglass / polyester,
1997 hallberg-rassy hr 531997 hallberg-rassy hr 53,425100,1997,hallberg-rassy,hr 53,sailing yachts,53,diesel,fiberglass / polyester,other
2001 moody 542001 moody 54,272500,2001,moody,54,sloop boats,53,diesel,other materials,
2007 amel 54 ketch2007 amel 54 ketch,490500,2007,amel,54 ketch,ketch sailing boats,53,diesel,fiberglass / polyester,
2001 moody moody 542001 moody moody 54,272500,2001,moody,moody 54,sailing yachts,53,diesel,composite,
2006 jeanneau sun odyssey 54 ds2006 jeanneau sun odyssey 54 ds,272500,2006,jeanneau,sun odyssey 54 ds,sailing yachts,53,gasoline,other materials,
2019 dufour 5202019 dufour 520,599500,2019,dufour,520,unspecified (sailboats),53,diesel,composite,
2022 dufour 5302022 dufour 530,764108,2022,dufour,530,racer/cruiser sailboats,53,diesel,fiberglass / polyester,
2022 dufour 5302022 dufour 530,553720,2022,dufour,530,sailing yachts,53,diesel,fiberglass / polyester,
2021 dufour 5302021 dufour 530,656461,2021,dufour,530,racer/cruiser sailboats,53,diesel,fiberglass / polyester,
2022 dufour 530 liegeplatz optional in der baltic bay erhältlich2022 dufour 530 liegeplatz optional in der baltic bay erhältlich,0,2022,dufour,530 liegeplatz optional in der baltic bay erhältlich,daysailers,53,diesel,fiberglass / polyester,
2007 grand soleil 542007 grand soleil 54,359700,2007,grand soleil,54,sailing yachts,53,diesel,fiberglass / polyester,monohull
2016 dufour 56 exclusive2016 dufour 56 exclusive,562440,2016,dufour,56 exclusive,sloop boats,53,diesel,other materials,
1970 solent arthur robb 54' classic ketch1970 solent arthur robb 54' classic ketch,174400,1970,solent,arthur robb 54' classic ketch,sailing yachts,53,diesel,wood,displacement
2006 knierim jv 53 custom bank von bremen2006 knierim jv 53 custom bank von bremen,249610,2006,knierim,jv 53 custom bank von bremen,racer/cruiser sailboats,53,diesel,fiberglass / polyester,
1983 ta chiao ct 541983 ta chiao ct 54,322640,1983,ta chiao,ct 54,classic sailboats,53,diesel,fiberglass / polyester,
2018 hanse 5482018 hanse 548,366894,2018,hanse,548,sailing yachts,53,diesel,fiberglass / polyester,monohull
2000 zuanelli z49 s2000 zuanelli z49 s,228900,2000,zuanelli,z49 s,sloop boats,53,diesel,fiberglass / polyester,
1995 beneteau first 53 f51995 beneteau first 53 f5,207100,1995,beneteau,first 53 f5,racer sailboats,53,diesel,fiberglass / polyester,monohull
2006 beneteau oceanis clipper 5232006 beneteau oceanis clipper 523,195655,2006,beneteau,oceanis clipper 523,daysailers,53,diesel,fiberglass / polyester,
2005 beneteau oceanis clipper 5232005 beneteau oceanis clipper 523,206010,2005,beneteau,oceanis clipper 523,sloop boats,53,diesel,other materials,other
2010 hanse 5452010 hanse 545,365150,2010,hanse,545,sailing yachts,53,diesel,fiberglass / polyester,
2023 jeanneau 542023 jeanneau 54,496604,2023,jeanneau,54,sailing yachts,53,diesel,fiberglass / polyester,monohull
2018 catana catana 532018 catana catana 53,1624100,2018,catana,catana 53,catamaran,52,diesel,fiberglass / polyester,catamaran
2002 custom wooden ship plan bouvet 16m2002 custom wooden ship plan bouvet 16m,196200,2002,custom,wooden ship plan bouvet 16m,sailing yachts,52,diesel,other materials,displacement
2005 hanse 531e2005 hanse 531e,260510,2005,hanse,531e,sloop boats,52,diesel,fiberglass / polyester,
2010 jeanneau 532010 jeanneau 53,376876,2010,jeanneau,53,sailing yachts,52,diesel,fiberglass / polyester,monohull
1996 reinke 15m1996 reinke 15m,201650,1996,reinke,15m,sailing yachts,52,diesel,aluminum,
1991 roberts 531991 roberts 53,216910,1991,roberts,53,sloop boats,52,diesel,steel,other
1966 custom eyemouth ketsch1966 custom eyemouth ketsch,106820,1966,custom,eyemouth ketsch,motor glider (sail),52,diesel,wood,
2007 vismara vismara v52s2007 vismara vismara v52s,381500,2007,vismara,vismara v52s,daysailers,52,diesel,other materials,
2009 hanse 540e2009 hanse 540e,228900,2009,hanse,540e,racer/cruiser sailboats,52,diesel,composite,monohull
1987 custom nautor's swan 531987 custom nautor's swan 53,283400,1987,custom,nautor's swan 53,racer/cruiser sailboats,52,diesel,other materials,displacement
2011 jeanneau 532011 jeanneau 53,212550,2011,jeanneau,53,sloop boats,52,diesel,other materials,other
1987 nautor swan swan 531987 nautor swan swan 53,283400,1987,nautor swan,swan 53,sailing yachts,52,diesel,fiberglass / polyester,
1990 amel super maramu1990 amel super maramu,268140,1990,amel,super maramu,sloop boats,52,diesel,other materials,
2007 classic sailing yacht2007 classic sailing yacht,141155,2007,classic,sailing yacht,sloop boats,52,diesel,wood,
1979 fisksatra varv swede 551979 fisksatra varv swede 55,151510,1979,fisksatra varv,swede 55,daysailers,52,diesel,fiberglass / polyester,
2023 grand soleil 482023 grand soleil 48,511210,2023,grand soleil,48,racer/cruiser sailboats,52,diesel,fiberglass / polyester,monohull
2009 hanse 540e2009 hanse 540e,359700,2009,hanse,540e,motor glider (sail),52,diesel,fiberglass / polyester,monohull
2012 hanse 5452012 hanse 545,425100,2012,hanse,545,sailing yachts,52,diesel,fiberglass / polyester,
1986 nautica cutter marconi1986 nautica cutter marconi,96732,1986,nautica,cutter marconi,sloop boats,52,diesel,wood,
"1993 stahli werft holz bodana, sloopo 11993 stahli werft holz bodana, sloopo 1",49050,1993,stahli werft,"holz bodana, sloopo 1",sailing yachts,52,gasoline,wood,
1990 amel amel super maramu1990 amel amel super maramu,223450,1990,amel,amel super maramu,daysailers,52,diesel,other materials,
2003 amel supermaramu 20002003 amel supermaramu 2000,343350,2003,amel,supermaramu 2000,classic sailboats,52,diesel,other materials,
1991 x-yachts x-5121991 x-yachts x-512,196200,1991,x-yachts,x-512,racer/cruiser sailboats,52,diesel,fiberglass / polyester,monohull
2020 beneteau oceanis 51.12020 beneteau oceanis 51.1,566800,2020,beneteau,oceanis 51.1,sailing yachts,52,diesel,fiberglass / polyester,
1930 lawley 50ft classic yacht1930 lawley 50ft classic yacht,425100,1930,lawley,50ft classic yacht,classic sailboats,52,diesel,wood,
2024 neel 522024 neel 52,0,2024,neel,52,catamarans and trimarans,52,diesel,fiberglass / polyester,
1998 amel super maramu1998 amel super maramu,265734,1998,amel,super maramu,cutter,52,diesel,fiberglass / polyester,
1996 custom build gulet / aynakic1996 custom build gulet / aynakic,187480,1996,custom build,gulet / aynakic,sailing yachts,52,diesel,wood,
